Player,POS,Team,FantasyPoints,VOR,VOR Rank
Jakob Johnson,RB,NE,4.7,-137.03,388
Tre' McKitty,TE,LAC,18.26,-137.06,389
Devine Ozigbo,RB,JAC,4.49,-137.24,390
Dwayne Washington,RB,NO,4.35,-137.38,391
Elijhaa Penny,RB,NYG,4.22,-137.51,392
Evan Baylis,TE,KC,17.7,-137.62,393
Corey Clement,RB,NYG,3.83,-137.9,394
Dexter Williams,RB,GB,3.77,-137.96,395
Jeremy Sprinkle,TE,DAL,17.04,-138.28,396
Dare Ogunbowale,RB,JAC,3.23,-138.5,397
Auden Tate,WR,CIN,55.06,-138.72,398
Tommy Sweeney,TE,BUF,16.55,-138.77,399
J.P. Holtz,TE,CHI,16.23,-139.09,400
Jonathan Williams,RB,WAS,2.58,-139.15,401
Isaiah McKenzie,WR,BUF,54.22,-139.56,402
Patrick Laird,RB,MIA,2.09,-139.64,403
Taiwan Jones,RB,BUF,2.07,-139.66,404
C.J. Prosise,RB,TB,2.06,-139.67,405
Elijah McGuire,RB,KC,1.97,-139.76,406
Jason Cabinda,RB,DET,1.96,-139.77,407
Ryan Nall,RB,CHI,1.92,-139.81,408
Artavis Pierce,RB,CHI,1.91,-139.82,409
Adrian Killins Jr.,RB,PHI,1.9,-139.83,411
Noah Togiai,TE,IND,15.49,-139.83,411
Jason Huntley,RB,PHI,1.9,-139.83,411
LeVante Bellamy,RB,DEN,1.89,-139.84,413.5
Austin Walter,RB,NYJ,1.89,-139.84,413.5
Nathan Cottrell,RB,JAC,1.88,-139.85,415
Damarea Crockett,RB,DEN,1.87,-139.86,416
Scottie Phillips,RB,HOU,1.86,-139.87,417
Jordan Scarlett,RB,MIA,1.82,-139.91,418
Taquan Mizzell,RB,NYG,1.81,-139.92,419
Cullen Gillaspia,RB,NYG,1.79,-139.94,420
Scotty Miller,WR,TB,53.44,-140.34,421
Isaiah Coulter,WR,HOU,53.26,-140.52,422
Daniel Brown,TE,NYJ,14.77,-140.55,423
Zach Gentry,TE,PIT,14.6,-140.72,424
Richard Rodgers,TE,PHI,14.57,-140.75,425
Stephen Anderson,TE,LAC,14.26,-141.06,426
Jesse James,TE,CHI,14.24,-141.08,427
Charlie Woerner,TE,SF,14.19,-141.13,428
Johnny Mundt,TE,LAR,14,-141.32,429
Tony Jones Jr.,RB,NO,0.31,-141.42,430
0,RB,0,0,-141.73,431.5
0,RB,0,0,-141.73,431.5
Antony Auclair,TE,HOU,13.36,-141.96,433
Colby Parkinson,TE,SEA,13.01,-142.31,434
Josiah Deguara,TE,GB,11.21,-144.11,435
Amari Rodgers,WR,GB,49.58,-144.2,436
Josh Oliver,TE,BAL,10.56,-144.76,437
Greg Ward,WR,PHI,48.79,-144.99,438
Ben Ellefson,TE,JAC,10.2,-145.12,439
Luke Stocker,TE,TEN,9.88,-145.44,440
Demetrius Harris,TE,ARI,9.86,-145.46,441
Tyree Jackson,TE,PHI,9.31,-146.01,442
Alize Mack,TE,DET,9.14,-146.18,443
Mason Schreck,TE,CIN,8.92,-146.4,444
Donovan Peoples-Jones,WR,CLE,46.65,-147.13,445
Collin Johnson,WR,JAC,45.59,-148.19,446
Sean McKeon,TE,DAL,6.47,-148.85,447
Lee Smith,TE,ATL,6.29,-149.03,448
Dominique Dafney,TE,GB,6.17,-149.15,449
Garrett Griffin,TE,NO,6.06,-149.26,450
Devin Duvernay,WR,BAL,43.98,-149.8,451
Cethan Carter,TE,MIA,5.42,-149.9,452
Trevon Wesco,TE,NYJ,5.33,-149.99,453
Kaden Smith,TE,NYG,5.31,-150.01,454
Eric Saubert,TE,DEN,5.17,-150.15,455
Ricky Seals-Jones,TE,WAS,4.53,-150.79,456
Tanner Hudson,TE,TB,4.27,-151.05,457
Zach Davidson,TE,MIN,4.06,-151.26,458
Deon Yelder,TE,WAS,3.91,-151.41,459
Troy Fumagalli,TE,NE,3.87,-151.45,460
N'Keal Harry,WR,NE,42.26,-151.52,461
Temarrick Hemingway,TE,WAS,3.61,-151.71,462
Brandon Dillon,TE,MIN,3.28,-152.04,463
Matt LaCosse,TE,NE,3.08,-152.24,464
Eric Tomlinson,TE,BAL,2.97,-152.35,465
Dez Fitzpatrick,WR,TEN,41.23,-152.55,466
Codey McElroy,TE,TB,2.36,-152.96,467
Isaac Nauta,TE,GB,2.23,-153.09,468
Ty Montgomery,WR,NO,40.64,-153.14,469
Marquise Goodwin,WR,CHI,40.59,-153.19,470
Tyrone Swoopes,TE,WAS,1.86,-153.46,471
Kevin Rader,TE,PIT,1.78,-153.54,472
MyCole Pruitt,TE,SF,1.74,-153.58,473.5
Tim Tebow,TE,JAC,1.74,-153.58,473.5
Jesper Horsted,TE,CHI,1.65,-153.67,475.5
Jason Croom,TE,PHI,1.65,-153.67,475.5
Hakeem Butler,TE,PHI,1.64,-153.68,477
Jordan Franks,TE,CLE,1.6,-153.72,478
Cole Hikutini,TE,NYG,1.52,-153.8,479
Colin Thompson,TE,CAR,1.38,-153.94,480
Freddie Swain,WR,SEA,39.77,-154.01,481
0,TE,0,0,-155.32,482.5
0,TE,0,0,-155.32,482.5
Phillip Dorsett II,WR,JAC,37.87,-155.91,484
Willie Snead IV,WR,LV,36.37,-157.41,485
David Moore,WR,CAR,34.63,-159.15,486
Dede Westbrook,WR,MIN,30.93,-162.85,487
Christian Blake,WR,ATL,29.94,-163.84,488
Ray-Ray McCloud,WR,PIT,28.96,-164.82,489
KeeSean Johnson,WR,ARI,28.92,-164.86,490
Andy Isabella,WR,ARI,28.86,-164.92,491
Teddy Bridgewater,QB,DEN,137.868,-165.79,492
Lynn Bowden Jr.,WR,MIA,27.81,-165.97,493
Chris Moore,WR,HOU,26.78,-167,494
Cedrick Wilson,WR,DAL,26.38,-167.4,495
Miles Boykin,WR,BAL,25.94,-167.84,496
Javon Wims,WR,CHI,24.64,-169.14,497
Jeff Smith,WR,NYJ,23.91,-169.87,498
Tyler Johnson,WR,TB,23.03,-170.75,499
Noah Brown,WR,DAL,22.61,-171.17,500
Taysom Hill,QB,NO,131.642,-172.016,501
Chad Beebe,WR,MIN,21.51,-172.27,502
Jamal Agnew,WR,JAC,21.15,-172.63,503
Andre Roberts,WR,HOU,20.95,-172.83,504
Cam Sims,WR,WAS,20.88,-172.9,505
Cameron Batson,WR,TEN,20.69,-173.09,506
Mike Thomas,WR,CIN,20.27,-173.51,507
Frank Darby,WR,ATL,19.54,-174.24,508
Alex Erickson,WR,HOU,19.35,-174.43,509
Kalif Raymond,WR,DET,19.21,-174.57,510
Juwan Johnson,WR,NO,18.77,-175.01,511
Anthony Schwartz,WR,CLE,18.64,-175.14,512
Chris Hogan,WR,NO,18.38,-175.4,513
DaeSean Hamilton,WR,DEN,17.82,-175.96,514
Penny Hart,WR,SEA,17.61,-176.17,515
Tyrod Taylor,QB,HOU,125.918,-177.74,516
Steven Sims Jr.,WR,WAS,15.92,-177.86,517
Albert Wilson,WR,MIA,15.47,-178.31,518
Nick Westbrook-Ikhine,WR,TEN,14.74,-179.04,519
Antonio Gandy-Golden,WR,WAS,14.37,-179.41,520
Shi Smith,WR,CAR,13.16,-180.62,521
John Ross,WR,NYG,13.15,-180.63,522
Jalen Hurd,WR,SF,13.11,-180.67,523
Tajae Sharpe,WR,ATL,12.97,-180.81,524
Victor Bolden Jr.,WR,DET,11.61,-182.17,525
Lil'Jordan Humphrey,WR,NO,11.47,-182.31,526
